0,1,2,3,4,5,6,7,8
615279.040783,442.646986492,664046.106687,459.579215092,26194.5917461,106.258611723,1480314.31449,683.677113632,ABxo2b.0002.fits
618083.500633,443.625389488,667330.680276,460.684882625,27336.4019517,107.976582569,1505591.10481,689.435338165,ABxo2b.0010.fits
672655.579462,462.49730214,726570.679012,480.409023963,31275.5302263,113.481572907,1995378.31278,792.971570119,ABxo2b.0018.fits
684310.202335,466.348234376,742263.232061,485.424899911,34875.9533611,117.94675045,1890719.44196,771.993518749,ABxo2b.0030.fits
681059.561816,465.246832523,735244.53546,483.1477364,33645.2200137,116.323759212,1766828.43521,746.393227659,ABxo2b.0042.fits
687497.446204,467.383817387,743807.480292,485.88861095,41929.4216955,126.980645928,2042844.44899,802.235070245,ABxo2b.0056.fits
662716.158077,458.920994771,720814.419576,478.336381452,31558.861668,113.056075096,1761009.2105,745.108051716,ABxo2b.0066.fits
584681.482881,431.421682958,639713.679814,450.957324295,31143.020308,112.316106285,1672671.67959,726.304088506,ABxo2b.0078.fits
666690.727355,460.178208152,730044.955921,481.261056006,34108.8720077,116.130968299,1880405.1172,769.762453054,ABxo2b.0092.fits
674162.034424,462.63694465,741055.2414,484.749596627,36148.6242691,118.510673725,1931106.97108,780.021588347,ABxo2b.0116.fits
669989.240559,461.273757112,733641.210562,482.406588738,53630.9174609,139.98939303,2510959.04944,888.920620646,ABxo2b.0136.fits
713264.27937,475.675688877,780520.12777,497.330921765,45769.9190618,130.54996418,2436544.67064,875.689023635,ABxo2b.0154.fits
699623.004561,471.101535686,765246.732801,492.440423481,53468.000858,139.310050938,2705420.64536,922.508389848,ABxo2b.0170.fits
667096.089242,460.136735784,721648.898403,478.332015921,58362.6587437,144.627667075,2487191.2528,884.667841402,ABxo2b.0182.fits
745908.941109,486.228607224,806931.115369,505.499323752,63252.4170426,149.808598947,2788378.88708,936.488605545,ABxo2b.0194.fits
750779.090752,487.80988383,810402.397742,506.588940154,65407.1792371,152.10501618,2737554.1456,927.954635884,ABxo2b.0202.fits
727884.943272,480.381560968,788139.000627,499.638628988,63501.8632114,150.031363087,2805391.36636,939.354301394,ABxo2b.0212.fits
724652.006323,479.301204469,783628.337812,498.201120625,75289.4029674,161.882007385,2893561.72628,953.938883213,ABxo2b.0228.fits
688970.564841,467.502826366,744231.50855,485.658935913,67348.0607484,154.025548101,2907229.03794,956.169442849,ABxo2b.0242.fits
712837.65263,475.428715354,769915.350096,493.872216158,70299.9774575,156.980571207,2881678.38045,951.973894706,ABxo2b.0254.fits
713268.214195,475.534315462,769648.864526,493.74971261,77865.560603,164.210722366,2948995.89104,962.99482709,ABxo2b.0262.fits
