,images,UTC,JD,ST,ST_isot,RA_SUN,DEC_SUN,D_SUN,HJD
0,ABxo2b.0002.fits,2012-12-10T05:29:57.274,2456271.7291351156,3.4071664088842688,3:24:25.7990719834,258.4559324685863,-23.013231430000459,0.98478087450027907,2456271.7319535343
1,ABxo2b.0010.fits,2012-12-10T05:39:05.773,2456271.7354834839,3.5599443933730797,3:33:35.7998161431,258.46292284309919,-23.013744783939689,0.98478014764382471,2456271.7383015468
2,ABxo2b.0018.fits,2012-12-10T05:48:14.276,2456271.7418318982,3.7127234920573766,3:42:45.8045714066,258.46991333448898,-23.014257835604187,0.98477942092406234,2456271.7446496054
3,ABxo2b.0030.fits,2012-12-10T06:01:57.578,2456271.7513608565,3.942044639888195,3:56:31.3607035975,258.48040617288876,-23.015027350791172,0.98477833038540985,2456271.7541780295
4,ABxo2b.0042.fits,2012-12-10T06:15:40.360,2456271.7608837965,4.1712209478932571,4:10:16.3954124157,258.49089253209422,-23.01579569107729,0.98477724085479013,2456271.7637004359
5,ABxo2b.0056.fits,2012-12-10T06:31:40.104,2456271.7719919444,4.4385464200710771,4:26:18.7671122559,258.50312465934365,-23.016691060681961,0.98477597036159648,2456271.7748079607
6,ABxo2b.0066.fits,2012-12-10T06:43:05.831,2456271.7799285995,4.6295476601274608,4:37:46.3715764589,258.51186450886513,-23.017330218876523,0.98477506287315186,2456271.7827441706
7,ABxo2b.0078.fits,2012-12-10T06:56:48.637,2456271.7894518171,4.8587306533393555,4:51:31.4303520217,258.52235161738031,-23.018096515383224,0.98477397426685243,2456271.7922668541
8,ABxo2b.0092.fits,2012-12-10T07:12:48.456,2456271.8005608334,5.1260770162263913,5:7:33.877258415,258.53458521731028,-23.018989544509559,0.98477270478887968,2456271.8033752469
9,ABxo2b.0116.fits,2012-12-10T07:40:13.716,2456271.8196031945,5.5843449576781392,5:35:3.6418476413,258.55555573402393,-23.020518136927883,0.98477052973787427,2456271.8224165398
10,ABxo2b.0136.fits,2012-12-10T08:03:04.969,2456271.8354741782,5.9662914524601494,5:57:58.6492288565,258.57303420164521,-23.021790047811312,0.98476871789728537,2456271.8382866327
11,ABxo2b.0154.fits,2012-12-10T08:23:39.201,2456271.8497592709,6.3100723495398547,6:18:36.2604583435,258.58876650094135,-23.022933227901483,0.98476708785638345,2456271.852570923
12,ABxo2b.0170.fits,2012-12-10T08:41:56.197,2456271.8624559836,6.6156277631081171,6:36:56.2599471892,258.60274978082276,-23.023947994684729,0.98476563966059505,2456271.8652669229
13,ABxo2b.0182.fits,2012-12-10T09:01:08.192,2456271.8757892591,6.9365025054570335,6:56:11.4090196453,258.61743440698507,-23.025012319183542,0.98476411946386511,2456271.8785994495
14,ABxo2b.0194.fits,2012-12-10T09:14:50.878,2456271.8853110881,7.1656520750460686,7:9:56.3474701658,258.62792146527721,-23.025771569256939,0.98476303420973421,2456271.8881207434
15,ABxo2b.0202.fits,2012-12-10T09:23:59.434,2456271.8916601157,7.3184459372731343,7:19:6.40537418328,258.6349141764718,-23.026277444137751,0.98476231075244114,2456271.8944694144
16,ABxo2b.0212.fits,2012-12-10T09:35:24.824,2456271.8995928704,7.509353310932795,7:30:33.6719193581,258.6436512687813,-23.026909075946179,0.98476140703041126,2456271.9024017234
17,ABxo2b.0228.fits,2012-12-10T09:53:41.883,2456271.9122903123,7.814926273095276,7:48:53.734583143,258.65763637260773,-23.027919092239333,0.98475996095758134,2456271.915098452
18,ABxo2b.0242.fits,2012-12-10T10:09:41.914,2456271.9234017823,8.0823316875666364,8:4:56.3940752399,258.66987488181189,-23.028801947160627,0.98475869596644916,2456271.926209297
19,ABxo2b.0254.fits,2012-12-10T10:23:24.756,2456271.9329254166,8.3115247096217519,8:18:41.4889546383,258.68036465869977,-23.029557894662922,0.98475761208486368,2456271.9357323963
20,ABxo2b.0262.fits,2012-12-10T10:32:33.121,2456271.9392722338,8.4642653713576603,8:27:51.3553368876,258.68735542126052,-23.030061296435363,0.98475688993071797,2456271.9420788563
